Date,price,returns,ema7,ema21,ema_fast_slope,ema_slow_slope,vol_benchmark,vol_stddev,vol_forecast_final,vol_pred_cons,garch_vol,heston_vol,zscore,0,buy_gate,sell_gate,trend_up,trend_down,ema_cross_up,ema_cross_down,buy_signal,sell_signal,position
2024-11-21,5948.7099609375,0.0053404615405816536,5925.718986913179,5887.6786064109065,0.001288289067450004,0.0010259594925178714,0.13785807705875017,0.004669790945532935,0.1280292394047404,0.1353041689648795,0.1280292394047404,0.14257909852501865,-1.965767530801954,Neutral,True,False,True,False,False,False,True,False,1
2024-11-22,5969.33984375,0.003467959094991535,5936.624201122384,5895.1023552599145,0.0018268710602266992,0.0012436465410460417,0.13891047518143826,0.00335499678301137,0.12478312087594742,0.13252549664546015,0.12478312087594742,0.1402678724149729,-2.825470861098167,Neutral,True,False,True,False,False,False,True,False,1
2024-11-25,5987.3701171875,0.003020480305938378,5949.310680138663,5903.490333616968,0.0021188733564108343,0.0014009453554533029,0.1396910141660386,0.001862724003106229,0.11937923839122783,0.13137849016719805,0.11937923839122783,0.14337774194316824,-4.062355154962155,Neutral,True,False,True,False,False,False,True,False,1
2024-11-26,6021.6298828125,0.005722005647630368,5967.390480807122,5914.230292634744,0.0030024762431952335,0.0017835634581976909,0.1393285004828733,0.00180437576912702,0.12472874836610229,0.12472874836610229,0.11432523018038517,0.13513226655181942,-2.9199504233542006,Neutral,True,False,True,False,False,False,True,False,1
2024-11-27,5998.740234375,-0.003801238017440034,5975.227919199091,5921.91301461113,0.0013065140489094066,0.0012807225644413654,0.13915031734468114,0.0016665232219468266,0.11426589631778891,0.12886145410491207,0.11426589631778891,0.14345701189203522,-4.976884205378446,Neutral,True,False,True,False,False,False,True,False,1
2024-11-29,6032.3798828125,0.005607785488815242,5989.515910102444,5931.955457174891,0.0023685495908608374,0.001664756324841899,0.1388739032971184,0.0013748271511451115,0.1109841396461549,0.12835995119321128,0.1109841396461549,0.14573576274026767,-5.577952730192701,Neutral,True,False,True,False,False,False,True,False,1
2024-12-02,6047.14990234375,0.0024484564662998753,6003.92440816277,5942.427679462969,0.0023826923911282783,0.0017317616492388427,0.13554464057298776,0.007776511357073196,0.11134289073577919,0.12872420372051252,0.11134289073577919,0.14610551670524585,-3.112160289613112,Neutral,True,False,True,False,False,False,True,False,1
2024-12-03,6049.8798828125,0.0004514491145146682,6015.413276825203,5952.196061585653,0.0018990242591546537,0.001614640672525798,0.1327730357056488,0.010051476209434505,0.10699678355908064,0.12250435162487419,0.10699678355908064,0.13801191969066773,-2.5644245292421908,Neutral,True,False,True,False,False,False,True,False,1
2024-12-04,6086.490234375,0.006051417924264779,6033.182516212652,5964.404622748321,0.002919455828104873,0.002005845847532474,0.12981009751398193,0.011310695242425117,0.10223212314668569,0.11856416326660418,0.10223212314668569,0.1348962033865227,-2.438220973707649,Neutral,True,False,True,False,False,False,True,False,1
2024-12-05,6075.10986328125,-0.0018697756269248078,6043.664352979802,5974.468735524042,0.0017253740266498215,0.0016566141192852473,0.12629956759105457,0.012210658440213457,0.10533829288315703,0.11870973063975421,0.10533829288315703,0.1320811683963514,-1.71663754338305,Neutral,True,False,True,False,False,False,True,False,1
2024-12-06,6090.27001953125,0.0024954538421815275,6055.315769617664,5984.996124979242,0.0019131198781821433,0.0017285587373694802,0.11746857165342513,0.02106497096621447,0.10147948801101478,0.11407174203440504,0.10147948801101478,0.1266639960577953,-0.7590365858113359,Neutral,True,False,True,False,False,False,True,False,1
2024-12-09,6052.85009765625,-0.006144213927296471,6054.6993516273105,5991.164667949879,-0.00010183929560591584,0.0010191137845996358,0.10855817278373811,0.023149570565406986,0.09880443333937042,0.11433428531735766,0.09880443333937042,0.1298641372953449,-0.4213356535841301,Neutral,True,False,True,False,False,False,False,False,1
2024-12-10,6034.91015625,-0.002963883313944371,6049.752052782983,5995.141530522616,-0.0008197800325501132,0.0006589762680425066,0.09971080062276157,0.021135841136324083,0.10766732505506482,0.10766732505506482,0.10288203306711427,0.11245261704301537,0.3764470210096897,Neutral,True,True,True,False,False,False,False,True,1
2024-12-11,6084.18994140625,0.008165786048233592,6058.361524938799,6003.236840602946,0.0014150564395145468,0.0013305485460335293,0.09458240168091432,0.02029259063000504,0.10275777375887077,0.10275777375887077,0.10047689528306064,0.1050386522346809,0.40287473526756973,Neutral,True,True,True,False,False,False,True,False,1
2024-12-12,6051.25,-0.005414022527810203,6056.5836437041,6007.601673275405,-0.00029380396359423834,0.0007213109146802331,0.08968966943281578,0.017603546635045986,0.10750345843427342,0.10750345843427342,0.1095701610709155,0.10543675579763134,1.0119431822899307,Neutral,True,True,True,False,False,False,False,True,1
2024-12-13,6051.08984375,-2.6466639124200775e-05,6055.210193715575,6011.55514331855,-0.00022697563975910076,0.000653348428998855,0.08496455235227986,0.01283483014579775,0.11191963239058851,0.11191963239058851,0.10981967187790136,0.11401959290327567,2.1001508965924267,Neutral,True,True,True,False,False,False,False,True,1
2024-12-16,6074.080078125,0.0037993543260221863,6059.927664817931,6017.239228300955,0.0007766560601243365,0.0009357935538050063,0.08038230882304949,0.0031615034795820737,0.10800081658758678,0.10800081658758678,0.10458299365590872,0.11141863951926485,5.5237015529074585,Neutral,True,True,True,False,False,False,True,False,1
2024-12-17,6050.60986328125,-0.003863994965801476,6057.598214433761,6020.272922390072,-0.000384994312442179,0.0005013864978351644,0.07877636765459606,0.006475581297799591,0.10605199305580432,0.10605199305580432,0.10298329935912114,0.10912068675248748,4.2120736574609206,Neutral,True,True,True,False,False,False,False,True,1
2024-12-18,5872.16015625,-0.02949284635160343,6011.238699887821,6006.808125468247,-0.007894797367983543,-0.00229298870663358,0.08556118114097257,0.018500849925682874,0.10408296298081805,0.10408296298081805,0.10176998117276904,0.10639594478886706,1.0011314028407718,Neutral,True,True,True,False,False,False,False,True,1
2024-12-19,5867.080078125,-0.0008651123249070469,5975.199044447116,5994.10557570977,-0.006142690224235492,-0.0021650547784131773,0.09220618168895826,0.022939215087797327,0.17347080599599018,0.17347080599599018,0.21022080970346133,0.13672080228851902,3.5426070158024365,Neutral,True,True,False,True,False,True,False,True,-1
2024-12-20,5930.85009765625,0.010869123768910471,5964.111807749399,5988.355077704905,-0.001869417792585566,-0.0009695908529432737,0.09904500665297174,0.026317154223670584,0.16103793386011123,0.16103793386011123,0.19213815069652757,0.1299377170236949,2.3556090708083035,Neutral,True,True,False,True,False,False,False,True,-1
2024-12-23,5974.06982421875,0.007287273468533639,5966.601311866737,5987.056418297072,0.0004167182826094998,-0.00021738269656109338,0.10578807260781035,0.02780608653647939,0.1619560825948037,0.1619560825948037,0.18898402110451498,0.13492814408509246,2.0199897570377394,Neutral,True,True,False,True,False,False,False,False,-1
2024-12-24,6040.0400390625,0.01104275925539211,5984.960993665678,5991.873111093929,0.0030396622671711076,0.0007974604084916729,0.11322682091346445,0.027956354571288262,0.1598249497073499,0.1598249497073499,0.17931803095891935,0.1403318684557804,1.6668170621123348,Neutral,True,True,False,True,False,False,True,False,1
2024-12-26,6037.58984375,-0.00040565878647391695,5998.1182061867585,5996.029177699026,0.0021792160218867154,0.0006883651776046988,0.12103624700790712,0.024963950636443185,0.16104516400666324,0.16104516400666324,0.1789430687631828,0.14314725925014365,1.6026676859531124,Neutral,True,True,True,False,True,False,True,False,1
2024-12-27,5970.83984375,-0.011055736101235558,5991.298615577569,5993.739238249114,-0.0011421493102562533,-0.00038352049457645427,0.13167625007247166,0.005939811184568158,0.1543758456152278,0.1543758456152278,0.1645106462590268,0.14424104497142878,3.8216022087925112,Neutral,True,True,False,True,False,True,False,True,-1
2024-12-30,5906.93994140625,-0.010701995701766776,5970.208947034739,5985.848393081581,-0.0035703204623761505,-0.0013358600638920357,0.13441114926536052,0.0066571140707790315,0.15290613555284235,0.15290613555284235,0.16709414934766095,0.13871812175802375,2.7782288377278035,Neutral,True,True,False,True,False,False,False,True,-1
2024-12-31,5881.6298828125,-0.004284800394927402,5948.06418097918,5976.3739830571185,-0.003765073031928063,-0.0016108477094332187,0.13707461382785555,0.0054124754174820575,0.16061907201668674,0.16061907201668674,0.16824353975434933,0.15299460427902417,4.350035126770946,Neutral,True,True,False,True,False,False,False,True,-1
2025-01-02,5868.5498046875,-0.0022238866412221947,5928.18558690626,5966.571785023517,-0.003387309426434692,-0.0016702930638455348,0.1388010360872708,0.004648988771568801,0.1495610990599587,0.1495610990599587,0.15744264868179317,0.14167954943812425,2.152012594537583,Neutral,True,True,False,True,False,False,False,True,-1
2025-01-03,5942.47021484375,0.01259602672149196,5931.756743890633,5964.380733188993,0.0006009549657400115,-0.0003687106128106262,0.14150388035195113,0.004942628630422738,0.14775601082006637,0.14775601082006637,0.1463328139783222,0.14917920766181053,1.2504260936230471,Neutral,True,False,False,True,False,False,False,False,0
2025-01-06,5975.3798828125,0.005538045085450305,5942.662528621099,5965.38065588204,0.001825119899378426,0.00016734043904437264,0.14346783496467905,0.005130875796539938,0.15354305016002182,0.15354305016002182,0.15750442640207135,0.14958167391797228,1.963644335755915,Neutral,True,True,False,True,False,False,True,False,1
2025-01-07,5909.02978515625,-0.01110391288210788,5934.254342754887,5960.257849452422,-0.0014229384809218296,-0.0008669454404318851,0.14606241648040255,0.005183640173526307,0.15322369543281975,0.15322369543281975,0.14984383028051068,0.1566035605851288,1.3815154433347843,Neutral,True,False,False,True,False,False,False,False,0
2025-01-08,5918.25,0.001560360190925314,5930.253257066165,5956.438954047656,-0.0006760589175384639,-0.0006452744315915023,0.1480289939621567,0.005072999553377068,0.15425466104487073,0.15425466104487073,0.15569046116084706,0.15281886092889438,1.2272161700802098,Neutral,True,False,False,True,False,False,False,False,0
2025-01-10,5827.0400390625,-0.01541164380306681,5904.449952565249,5944.675416321732,-0.004428200995349175,-0.0020187844337888803,0.15038842592057583,0.006534358754735823,0.14446531360231737,0.15018503185594215,0.14446531360231737,0.15590475010956692,-0.906456553822613,Neutral,True,False,False,True,False,False,False,False,0
2025-01-13,5836.22021484375,0.0015754440882007614,5887.392518134874,5934.815852551006,-0.0029226851973459447,-0.0016893748706824224,0.15299424799502695,0.006570016413221864,0.16427004221268648,0.16427004221268648,0.16585748100182462,0.16268260342354837,1.7162505401002504,Neutral,True,True,False,True,False,False,False,True,-1
2025-01-14,5842.91015625,0.0011462798112440442,5876.271927663655,5926.460789250915,-0.0019032622740781592,-0.001429948959792614,0.15517657067079824,0.004570854683359487,0.1536400524810719,0.1536400524810719,0.1533370707534314,0.15394303420871241,-0.3073036379452665,Neutral,True,False,False,True,False,False,False,False,0
2025-01-15,5949.91015625,0.018312792279639112,5894.681484810241,5928.592549887195,0.0030940899380216486,0.0003582845085552594,0.15823451954742238,0.0070594002971895425,0.14934423865266994,0.14934423865266994,0.14226130365263234,0.1564271736527075,-1.2593535598614232,Neutral,True,False,False,True,False,False,True,False,1
2025-01-16,5937.33984375,-0.0021126894641922966,5905.346074545181,5929.387758420176,0.0017961898789010866,0.0001339334708655286,0.161339206960204,0.007484308061580307,0.24200881044030603,0.1684350635202417,0.17576594756047556,0.16110417948000785,10.0,Neutral,True,True,False,True,False,False,True,False,1
